,Terms and Conditions,Supplier,Date,Branch,Supplier Invoice No,Supplier Invoice Date,Faktur Pajak No,Payment Terms Template,Item (Items),Item Name (Items),Accepted Qty (Items),Rate (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Is Tax Withholding Account (Purchase Taxes and Charges),Reference Type (Advances),Reference Name (Advances),Allocated Amount (Advances),Advance amount (Advances)
0,PI.2025.01.00133,CV BANDUNG GEMILANG SENTOSA,22/01/2025,SURABAYA,0125/132,,04002500015431075,,GU140TAK,GREE GU140T/A-K,2,,,PO.2025.01.00110,,,,,,,,,,,,,,
1,PI.2025.01.00002,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/002,,04002500005683904,,STC15NV,DAIKIN STC-15NV,10,,,PO.2025.01.00002,,,,,,,,,,,,,,
2,PI.2025.01.00211,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/210,,04002500014448481,,AHA5BEY,SHARP AH-A5BEY,45,,,PO.2025.01.00133,,,,,,,,,,,,,,
3,PI.2025.01.00212,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/211,,04002500014449257,,AHA9BEY,SHARP AH-A9BEY,20,,,PO.2025.01.00133,,,,,,,,,,,,,,
4,PI.2025.01.00211,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/210,,04002500014448481,,AHA9BEY,SHARP AH-A9BEY,35,,,PO.2025.01.00133,,,,,,,,,,,,,,
5,PI.2025.01.00025,PT SAMSUNG ELECTRONICS INDONESIA,09/01/2025,SURABAYA,0125/025,,04002500004433837,,AR05BGHQ,SAMSUNG AR05BGHQ,5,,,PO.2024.11.00059,,,,,,,,,,,,,,
6,PI.2025.01.00025,PT SAMSUNG ELECTRONICS INDONESIA,09/01/2025,SURABAYA,0125/025,,04002500004433837,,AR09BGHQ,SAMSUNG AR09BGHQ,5,,,PO.2024.11.00059,,,,,,,,,,,,,,
7,PI.2025.01.00134,PT SARANA KENCANA MULYA,23/01/2025,SURABAYA,0125/134,,04002500011153225,,PSF2032,POLYTRON PSF2032,10,,,PO.2025.01.00163,,,,,,,,,,,,,,
8,PI.2025.01.00135,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/135,,,,MPHA05CRN7,MIDEA MPHA-05CRN7,10,,,PO.2025.01.00116,,,,,,,,,,,,,,
9,PI.2025.01.00136,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/136,,,,MSFC05CRN2X,MIDEA MSFC05CRN2X,30,,,PO.2025.01.00024,,,,,,,,,,,,,,
10,PI.2025.01.00137,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/137,,,,MSAF07CRN2,MIDEA MSAF07CRN2,5,,,PO.2025.01.00028,,,,,,,,,,,,,,
11,PI.2025.01.00004,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/004,,04002500005683905,,2MKC20RVM1515,DAIKIN 2MKC20RVM (15+15),1,,,PO.2025.01.00004,,,,,,,,,,,,,,
12,PI.2025.01.00138,PT MIDEA PLANET INDONESIA,24/01/2025,SURABAYA,0125/138,,,,MPHA09CRN7,MIDEA MPHA-09CRN7,5,,,PO.2025.01.00024,,,,,,,,,,,,,,
13,PI.2025.01.00006,PT LG ELECTRONICS INDONESIA,04/01/2025,SURABAYA,0125/006,,04002500006785997,,T09EV5,LG T09EV5,5,,,PO.2025.01.00007,,,,,,,,,,,,,,
14,PI.2025.01.00008,PT AKARI INDONESIA,04/01/2025,SURABAYA,0125/008,,04002500007103933,,A05TC88NLW,AKARI A05TC88NLW,15,,,PO.2025.01.00010,,,,,,,,,,,,,,
15,PI.2025.01.00064,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/069,,04002500006239568,,STV25CXV,DAIKIN STV-25CXV,10,,,PO.2025.01.00056,,,,,,,,,,,,,,
16,PI.2025.01.00145,PT SARANA KENCANA MULYA,23/01/2025,MADIUN,0125/146,,04002500011153253,,PAC05VH,POLYTRON PAC05VH,40,,,PO.2025.01.00019,,,,,,,,,,,,,,
17,PI.2025.01.00143,PT SHARP ELECTRONICS INDONESIA,24/01/2025,BALI,0125/144,,04002500011671319,,AHAP5BMY,SHARP AH-AP5BMY,5,,,PO.2025.01.00107,,,,,,,,,,,,,,
18,PI.2025.01.00143,PT SHARP ELECTRONICS INDONESIA,24/01/2025,BALI,0125/144,,04002500011671319,,AHAP9BMY,SHARP AH-AP9BMY,5,,,PO.2025.01.00107,,,,,,,,,,,,,,
19,PI.2025.01.00065,PT SARANA KENCANA MULYA,14/01/2025,SURABAYA,0125/070,,04002500004429262,,PAC09VH,POLYTRON PAC09VH,17,,,PO.2025.01.00019,,,,,,,,,,,,,,
20,PI.2025.01.00147,PT PANASONIC GOBEL INDONESIA,28/01/2025,SURABAYA,0125/148,,04002500013711823,,CSCUYN9AKJ,PANASONIC CS/CU-YN9AKJ,130,,,PO.2025.01.00047,,,,,,,,,,,,,,
21,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STC25NV,DAIKIN STC-25NV,5,,,PO.2025.01.00118,,,,,,,,,,,,,,
22,PI.2025.01.00149,PT SARANA KENCANA MULYA,24/01/2025,SURABAYA,0125/133,,04002500011153269,,PSF2032,POLYTRON PSF2032,1,,,PO.2025.01.00109,,,,,,,,,,,,,,
23,PI.2025.01.00066,PT SARANA KENCANA MULYA,14/01/2025,SURABAYA,0125/071,,04002500004429277,,PAC05VH,POLYTRON PAC05VH,33,,,PO.2025.01.00019,,,,,,,,,,,,,,
24,PI.2025.01.00152,PT TRIMASTER JAYA ABADI,25/01/2025,SURABAYA,0125/151,,04002500017889610,,GWC07MOO5S,GREE GWC-07MOO5S,5,,,PO.2025.01.00129,,,,,,,,,,,,,,
25,PI.2025.01.00153,PT SHARP ELECTRONICS INDONESIA,25/01/2025,SURABAYA,0125/152,,04002500012851258,,AHA18ZCY,SHARP AH-A18ZCY,10,,,PO.2025.01.00127,,,,,,,,,,,,,,
26,PI.2025.01.00067,CV MUARA PERKASA,15/01/2025,BALI,0125/072,,04002500002121085,,GWC05MOO5S,GREE GWC-05MOO5S,20,,,PO.2025.01.00069,,,,,,,,,,,,,,
27,PI.2025.01.00154,PT SHARP ELECTRONICS INDONESIA,25/01/2025,SURABAYA,0125/153,,04002500012851348,,AHA18ZCY,SHARP AH-A18ZCY,10,,,PO.2025.01.00127,,,,,,,,,,,,,,
28,PI.2025.01.00032,PT PANASONIC GOBEL INDONESIA,10/01/2025,SURABAYA,0125/032,,04002500004352295,,FV15TGU1W,PANASONIC FV-15TGU1-W,20,,,PO.2025.01.00039,,,,,,,,,,,,,,
29,PI.2025.01.00032,PT PANASONIC GOBEL INDONESIA,10/01/2025,SURABAYA,0125/032,,04002500004352295,,FV25TGU5W,PANASONIC FV-25TGU5-W,20,,,PO.2025.01.00039,,,,,,,,,,,,,,
30,PI.2025.01.00012,PT TRIMASTER JAYA ABADI,07/01/2025,SURABAYA,0125/012,,04002500008977802,,GEVER1438,"GEVER INVERTER 1/4-3/8""",8,,,PO.2025.01.00027,,,,,,,,,,,,,,
31,PI.2025.01.00106,PT PUCANGADI JAYA,22/01/2025,BALI,0125/107,,04002500006446650,,GWC09MOO5S,GREE GWC-09MOO5S,15,,,PO.2025.01.00099,,,,,,,,,,,,,,
32,PI.2025.01.00157,PT SAMSUNG ELECTRONICS INDONESIA,28/01/2025,BALI,0125/156,,040.003-25.35260222,,AC071TN4PKC/EA,SAMSUNG AC071TN4PKC/EA,1,,,PO.2025.01.00121,,,,,,,,,,,,,,
33,PI.2025.01.00158,PT JATIM WATKORAYA,28/01/2025,BALI,0125/160,,04002500021113455,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",3,,,PO.2025.01.00136,,,,,,,,,,,,,,
34,PI.2025.01.00161,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,0125/159,,04002500010514805,,GWC07MOO5S,GREE GWC-07MOO5S,3,,,PO.2025.01.00122,,,,,,,,,,,,,,
35,PI.2025.01.00071,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,0125/076,,04002500006373020,,STC25NV,DAIKIN STC-25NV,5,,,PO.2025.01.00066,,,,,,,,,,,,,,
36,PI.2025.01.00161,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,0125/159,,04002500010514805,,GWC18N1A,GREE GWC-18N1A,14,,,PO.2025.01.00122,,,,,,,,,,,,,,
37,PI.2025.01.00162,PT CATURAGA TIARA PERSADA,30/01/2025,SURABAYA,0125/161,,04002500028408194,,CW0501RA,REIWA CW-0501RA,30,,,PO.2025.01.00009,,,,,,,,,,,,,,
38,PI.2025.01.00011,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/011,,04002500005683873,,STC25NV,DAIKIN STC-25NV,10,,,PO.2025.01.00008,,,,,,,,,,,,,,
39,PI.2025.01.00011,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/011,,04002500005683873,,STC50XV,DAIKIN STC-50XV,45,,,PO.2025.01.00008,,,,,,,,,,,,,,
40,PI.2025.01.00127,PT FLIFE TECHNOLOGIES INDONESIA,23/01/2025,SURABAYA,0125/126,,04002500021567080,,FAC05FC00,FLIFE FAC-05FC00,7,,,PO.2025.01.00108,,,,,,,,,,,,,,
41,PI.2025.01.00163,CV BALLY AIRCOND,30/01/2025,BALI,0125/162,,04002500012164717,,GWC18N1A,GREE GWC-18N1A,10,,,PO.2025.01.00135,,,,,,,,,,,,,,
42,PI.2025.01.00127,PT FLIFE TECHNOLOGIES INDONESIA,23/01/2025,SURABAYA,0125/126,,04002500021567080,,FAC09FC00,FLIFE FAC-09FC00,3,,,PO.2025.01.00108,,,,,,,,,,,,,,
43,PI.2025.01.00071,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,0125/076,,04002500006373020,,STKF35AV,DAIKIN STKF-35AV,1,,,PO.2025.01.00066,,,,,,,,,,,,,,
44,PI.2025.01.00164,PT SHARP ELECTRONICS INDONESIA,30/01/2025,BALI,0125/163,,04002500012861978,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",1,,,PO.2024.10.00178,,,,,,,,,,,,,,
45,PI.2025.01.00164,PT SHARP ELECTRONICS INDONESIA,30/01/2025,BALI,0125/163,,04002500012861978,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",1,,,PO.2024.12.00001,,,,,,,,,,,,,,
46,PI.2025.01.00072,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,0125/077,,04002500027256050,,DINABOLT,DINABOLT,1500,,,PO.2024.12.00103,,,,,,,,,,,,,,
47,PI.2025.01.00164,PT SHARP ELECTRONICS INDONESIA,30/01/2025,BALI,0125/163,,04002500012861978,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",1,,,PO.2024.12.00126,,,,,,,,,,,,,,
48,PI.2025.01.00165,AINUR ROFIQ,30/01/2025,SURABAYA,0125/164,,,,,,1,,,PO.2025.01.00145,,,,,,,,,,,,,,
49,PI.2025.01.00014,PT SARANA KENCANA MULYA,07/01/2025,SURABAYA,0125/014,,04002500011594541,,PAC05VZI,POLYTRON PAC05VZI,5,,,PO.2025.01.00023,,,,,,,,,,,,,,
50,PI.2025.01.00146,PT PUCANGADI JAYA,28/01/2025,BALI,0125/147,,04002500016550201,,GWC05MOO5S,GREE GWC-05MOO5S,20,,,PO.2025.01.00119,,,,,,,,,,,,,,
51,PI.2025.01.00166,PT SHARP ELECTRONICS INDONESIA,30/01/2025,SURABAYA,0125/165,,04002500012859778,,AHA5BEY,SHARP AH-A5BEY,50,,,PO.2025.01.00133,,,,,,,,,,,,,,
52,PI.2025.01.00166,PT SHARP ELECTRONICS INDONESIA,30/01/2025,SURABAYA,0125/165,,04002500012859778,,AHA7BEY,SHARP AH-A7BEY,5,,,PO.2025.01.00133,,,,,,,,,,,,,,
53,PI.2025.01.00166,PT SHARP ELECTRONICS INDONESIA,30/01/2025,SURABAYA,0125/165,,04002500012859778,,AHA9BEY,SHARP AH-A9BEY,45,,,PO.2025.01.00133,,,,,,,,,,,,,,
54,PI.2025.01.00167,PT SHARP ELECTRONICS INDONESIA,30/01/2025,SURABAYA,0125/166,,04002500012859833,,AHA9BEY,SHARP AH-A9BEY,10,,,PO.2025.01.00133,,,,,,,,,,,,,,
55,PI.2025.01.00168,PT PANASONIC GOBEL INDONESIA,30/01/2025,SURABAYA,0125/167,,04002500015098009,,CSCUPN18AKJ,PANASONIC CS/CU-PN18AKJ,1,,,PO.2025.01.00134,,,,,,,,,,,,,,
56,PI.2025.01.00168,PT PANASONIC GOBEL INDONESIA,30/01/2025,SURABAYA,0125/167,,04002500015098009,,CSCURU12AKJ,PANASONIC CS/CU-RU12AKJ,1,,,PO.2025.01.00134,,,,,,,,,,,,,,
57,PI.2025.01.00014,PT SARANA KENCANA MULYA,07/01/2025,SURABAYA,0125/014,,04002500011594541,,PAC09VZI,POLYTRON PAC09VZI,5,,,PO.2025.01.00023,,,,,,,,,,,,,,
58,PI.2025.01.00093,PT TRIMASTER JAYA ABADI,17/01/2025,SURABAYA,0125/095,,04002500010773599,,GWC18N1A,GREE GWC-18N1A,15,,,PO.2025.01.00088,,,,,,,,,,,,,,
59,PI.2025.01.00093,PT TRIMASTER JAYA ABADI,17/01/2025,SURABAYA,0125/095,,04002500010773599,,FM12512K,GREE FM-1.25-12-K,4,,,PO.2025.01.00088,,,,,,,,,,,,,,
60,PI.2025.01.00168,PT PANASONIC GOBEL INDONESIA,30/01/2025,SURABAYA,0125/167,,04002500015098009,,,,1,,,PO.2025.01.00134,,,,,,,,,,,,,,
61,PI.2025.01.00169,PT AKARI INDONESIA,30/01/2025,SURABAYA,0125/168,,04002500014827459,,A05TC88NLW,AKARI A05TC88NLW,5,,,PO.2025.01.00111,,,,,,,,,,,,,,
62,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STC50XV,DAIKIN STC-50XV,5,,,PO.2025.01.00025,,,,,,,,,,,,,,
63,PI.2025.01.00170,PT AKARI INDONESIA,30/01/2025,SURABAYA,0125/169,,04002500014827466,,A05TC88NLW,AKARI A05TC88NLW,2,,,PO.2025.01.00132,,,,,,,,,,,,,,
64,PI.2025.01.00170,PT AKARI INDONESIA,30/01/2025,SURABAYA,0125/169,,04002500014827466,,A09TC88NLW,AKARI A09TC88NLW,1,,,PO.2025.01.00132,,,,,,,,,,,,,,
65,PI.2025.01.00015,PT MEGAH PERTAMA INDAH,06/01/2025,SURABAYA,0125/015,,04002500000638350,,L43H7,CHANGHONG L43H7,7,,,PO.2025.01.00013,,,,,,,,,,,,,,
66,PI.2025.01.00015,PT MEGAH PERTAMA INDAH,06/01/2025,SURABAYA,0125/015,,04002500000638350,,GMB50,GEA GMB50,3,,,PO.2025.01.00013,,,,,,,,,,,,,,
67,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STC15NV,DAIKIN STC-15NV,2,,,PO.2025.01.00025,,,,,,,,,,,,,,
68,PI.2025.01.00016,PT MEGAH PERTAMA INDAH,06/01/2025,SURABAYA,0125/016,,04002500000638351,,PWC776,POLYTRON PWC-776,1,,,PO.2025.01.00018,,,,,,,,,,,,,,
69,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STC25NV,DAIKIN STC-25NV,5,,,PO.2025.01.00025,,,,,,,,,,,,,,
70,PI.2025.01.00017,CV MUARA PERKASA,08/01/2025,BALI,0125/017,,04002500000875932,,GWC05MOO5S,GREE GWC-05MOO5S,20,,,PO.2025.01.00030,,,,,,,,,,,,,,
71,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STC35NV,DAIKIN STC-35NV,3,,,PO.2025.01.00025,,,,,,,,,,,,,,
72,PI.2025.01.00018,CV BALLY AIRCOND,08/01/2025,BALI,0125/018,,04002500000678254,,GWC18N1A,GREE GWC-18N1A,5,,,PO.2025.01.00031,,,,,,,,,,,,,,
73,PI.2025.01.00171,CV ALLEND,24/01/2025,BALI,0125/171,,04002500010902038,,,,1,,,PO.2025.01.00153,,,,,,,,,,,,,,
74,PI.2025.01.00155,PT SARANA KENCANA MULYA,31/01/2025,MADIUN,0125/154,,04002500014893115,,PCT5032,POLYTRON PCT5032,2,,,PO.2025.01.00125,,,,,,,,,,,,,,
75,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STKF35AV,DAIKIN STKF-35AV,1,,,PO.2025.01.00025,,,,,,,,,,,,,,
76,PI.2025.01.00079,PT TOKOPEDIA,01/01/2025,SURABAYA,0125/080,,040.002-25.40191890,,SF,SERVICE FEE,1,,,PO.2025.01.00084,,,,,,,,,,,,,,
77,PI.2025.01.00074,PT MIDEA PLANET INDONESIA,15/01/2025,SURABAYA,0125/060,,,,MCD24CRN,MIDEA MCD-24CRN,1,,,PO.2025.01.00035,,,,,,,,,,,,,,
78,PI.2025.01.00075,PT MIDEA PLANET INDONESIA,15/01/2025,SURABAYA,0125/061,,,,MCD18CRN,MIDEA MCD-18CRN,3,,,PO.2025.01.00053,,,,,,,,,,,,,,
79,PI.2025.01.00083,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,MADIUN,0125/084,,04002500006373042,,STC15NV,DAIKIN STC-15NV,10,,,PO.2025.01.00063,,,,,,,,,,,,,,
80,PI.2025.01.00171,CV ALLEND,24/01/2025,BALI,0125/171,,04002500010902038,,JASAPEMASANGAN,JASA PEMASANGAN,1,,,PO.2025.01.00153,,,,,,,,,,,,,,
81,PI.2025.01.00019,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/019,,04002500005676134,,STV50CXV,DAIKIN STV-50CXV,10,,,PO.2025.01.00025,,,,,,,,,,,,,,
82,PI.2025.01.00083,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,MADIUN,0125/084,,04002500006373042,,STC50XV,DAIKIN STC-50XV,10,,,PO.2025.01.00063,,,,,,,,,,,,,,
83,PI.2025.01.00082,PT MIDEA PLANET INDONESIA,16/01/2025,BALI,0125/083,,,,MPHA05CRN7,MIDEA MPHA-05CRN7,5,,,PO.2025.01.00044,,,,,,,,,,,,,,
84,PI.2025.01.00082,PT MIDEA PLANET INDONESIA,16/01/2025,BALI,0125/083,,,,MPF212CRN1,MIDEA MPF2-12CRN1,5,,,PO.2025.01.00044,,,,,,,,,,,,,,
85,PI.2025.01.00076,PT GENERGY GLOBAL INDONESIA,15/01/2025,SURABAYA,0125/062,,04022500003589157,,MCD18CRDN2,MIDEA MCD-18CRDN2,1,,,PO.2025.01.00055,,,,,,,,,,,,,,
86,PI.2025.01.00020,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/020,,04002500005676145,,STP15AV9,DAIKIN STP-15AV9,32,,,PO.2025.01.00021,,,,,,,,,,,,,,
87,PI.2025.01.00020,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/020,,04002500005676145,,STP25AV9,DAIKIN STP-25AV9,18,,,PO.2025.01.00021,,,,,,,,,,,,,,
88,PI.2025.01.00021,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/021,,04002500005676115,,SVC85AYL,DAIKIN SVC85AYL,1,,,PO.2025.01.00017,,,,,,,,,,,,,,
89,PI.2025.01.00022,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,SURABAYA,0125/022,,04002500005676089,,2MKC20RVM1515,DAIKIN 2MKC20RVM (15+15),1,,,PO.2025.01.00026,,,,,,,,,,,,,,
90,PI.2025.01.00173,PT LG ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/173,,040.003-25.14055355,,H09TN4SCAX,LG H09TN4.SCAX,15,,,PO.2025.01.00032,,,,,,,,,,,,,,
91,PI.2025.01.00174,PT LG ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/174,,040.003-24.14055350,,T18EV5,LG T18EV5,10,,,PO.2025.01.00032,,,,,,,,,,,,,,
92,PI.2025.01.00083,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,MADIUN,0125/084,,04002500006373042,,STV50CXV,DAIKIN STV-50CXV,10,,,PO.2025.01.00063,,,,,,,,,,,,,,
93,PI.2025.01.00175,PT LG ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/175,,040.003-25.14055353,,H07TN4SCAX,LG H07TN4.SCAX,10,,,PO.2025.01.00007,,,,,,,,,,,,,,
94,PI.2025.01.00176,CV ALLEND,24/01/2025,BALI,0125/176,,04012500010902039,,,,1,,,PO.2025.01.00152,,,,,,,,,,,,,,
95,PI.2025.01.00176,CV ALLEND,24/01/2025,BALI,0125/176,,04012500010902039,,JASAPEMASANGAN,JASA PEMASANGAN,1,,,PO.2025.01.00152,,,,,,,,,,,,,,
96,PI.2025.01.00177,CV ALLEND,24/01/2025,BALI,0125/177,,04002500010902037,,,,1,,,PO.2025.01.00154,,,,,,,,,,,,,,
97,PI.2025.01.00178,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/178,,,,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,2,,,PO.2025.01.00116,,,,,,,,,,,,,,
98,PI.2025.01.00179,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/179,,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,5,,,PO.2025.01.00024,,,,,,,,,,,,,,
99,PI.2025.01.00179,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/179,,,,MSFC05CRN2X,MIDEA MSFC05CRN2X,10,,,PO.2025.01.00024,,,,,,,,,,,,,,
100,PI.2025.01.00183,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/182,,04002500014539560,,AHA5BEY,SHARP AH-A5BEY,10,,,PO.2025.01.00157,,,,,,,,,,,,,,
101,PI.2025.01.00183,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/182,,04002500014539560,,AHA9BEY,SHARP AH-A9BEY,10,,,PO.2025.01.00157,,,,,,,,,,,,,,
102,PI.2025.01.00184,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/183,,04002500014539573,,AHA5BEY,SHARP AH-A5BEY,15,,,PO.2025.01.00157,,,,,,,,,,,,,,
103,PI.2025.01.00184,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/183,,04002500014539573,,AHA9BEY,SHARP AH-A9BEY,15,,,PO.2025.01.00157,,,,,,,,,,,,,,
104,PI.2025.01.00130,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,0125/129,,040.001-25.08839303,,BA,BIAYA ADMINISTRASI,1,,,PO.2025.01.00123,,,,,,,,,,,,,,
105,PI.2025.01.00187,CV MULTI GUNA SELARAS,31/01/2025,SURABAYA,0125/186,,04002500014919048,,SRK05CR,MITSUBISHI HEAVY INDUSTRIES SRK05CR,1,,,PO.2025.01.00151,,,,,,,,,,,,,,
106,PI.2025.01.00187,CV MULTI GUNA SELARAS,31/01/2025,SURABAYA,0125/186,,04002500014919048,,SRK18CS,MITSUBISHI HEAVY INDUSTRIES SRK18CS,2,,,PO.2025.01.00151,,,,,,,,,,,,,,
107,PI.2025.01.00188,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/187,,04002500014893185,,PAC05VH,POLYTRON PAC05VH,50,,,PO.2025.01.00019,,,,,,,,,,,,,,
108,PI.2025.01.00023,PT CHANGHONG MEILING ELECTRIC INDONESIA,08/01/2025,SURABAYA,0125/023,,04002500025760661,,CSC09NVC4,CHANGHONG CSC-09NVC4,15,,,PO.2025.01.00006,,,,,,,,,,,,,,
109,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STC15NV,DAIKIN STC-15NV,15,,,PO.2025.01.00142,,,,,,,,,,,,,,
110,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC05VZI,POLYTRON PAC05VZI,11,,,PO.2025.01.00148,,,,,,,,,,,,,,
111,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC05VZSI,POLYTRON PAC05VZSI,11,,,PO.2025.01.00148,,,,,,,,,,,,,,
112,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC09VZI,POLYTRON PAC09VZI,5,,,PO.2025.01.00148,,,,,,,,,,,,,,
113,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC09VZSI,POLYTRON PAC09VZSI,3,,,PO.2025.01.00148,,,,,,,,,,,,,,
114,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STC15NV,DAIKIN STC-15NV,5,,,PO.2025.01.00016,,,,,,,,,,,,,,
115,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STC35NV,DAIKIN STC-35NV,3,,,PO.2025.01.00016,,,,,,,,,,,,,,
116,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STKC35TV,DAIKIN STKC-35TV,1,,,PO.2025.01.00016,,,,,,,,,,,,,,
117,PI.2025.01.00029,CV MULTI GUNA SELARAS,09/01/2025,SURABAYA,0125/029,,04002500008282189,,SRK09CXP,MITSUBISHI HEAVY INDUSTRIES SRK09CXP,6,,,PO.2025.01.00037,,,,,,,,,,,,,,
118,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STV50CXV,DAIKIN STV-50CXV,2,,,PO.2025.01.00016,,,,,,,,,,,,,,
119,PI.2025.01.00081,PT MIDEA PLANET INDONESIA,16/01/2025,BALI,0125/082,,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,20,,,PO.2025.01.00044,,,,,,,,,,,,,,
120,PI.2025.01.00144,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,0125/145,,04002500010562575,,FM12512K,GREE FM-1.25-12-K,3,,,PO.2025.01.00117,,,,,,,,,,,,,,
121,PI.2025.01.00163,CV BALLY AIRCOND,30/01/2025,BALI,0125/162,,04002500012164717,,,,15,,,PO.2025.01.00135,,,,,,,,,,,,,,
122,PI.2025.01.00213,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/212,,04002500014892966,,PAC18VH,POLYTRON PAC18VH,50,,,PO.2025.01.00159,,,,,,,,,,,,,,
123,PI.2025.01.00009,PT CATURAGA TIARA PERSADA,06/01/2025,SURABAYA,0125/009,,04002500001601167,,CW0501RA,REIWA CW-0501RA,35,,,PO.2025.01.00009,,,,,,,,,,,,,,
