,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
263,PO.2025.01.00085,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,TF,TRANSACTION FEE,1,1387122,,LOT,,,,,,,,
264,PO.2025.01.00088,PT TRIMASTER JAYA ABADI,16/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6044070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
265,PO.2025.01.00088,PT TRIMASTER JAYA ABADI,16/01/2025,SURABAYA,IDR,,,CBD,,FM12512K,GREE FM-1.25-12-K,4,2835570,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
266,PO.2025.01.00086,PT TOKOPEDIA,01/01/2025,BALI,IDR,,,CBD,,SF,SERVICE FEE,1,8776040,,LOT,,,,,,,,
267,PO.2025.01.00090,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,50,2794980,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
268,PO.2025.01.00087,PT TOKOPEDIA,01/01/2025,BALI,IDR,,,CBD,,TF,TRANSACTION FEE,1,3038714,,LOT,,,,,,,,
269,PO.2025.01.00089,CV MIAMI ELECTRONIC,16/01/2025,SURABAYA,IDR,,,CBD,,GWC0707CS,GREE GWC0707CS,1,8024970,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
270,PO.2025.01.00090,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN7YKP,PANASONIC CS/CU-ZN7YKP,50,2981460,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
271,PO.2025.01.00090,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN9YKP,PANASONIC CS/CU-ZN9YKP,150,3094680,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
272,PO.2025.01.00091,PT JATIM WATKORAYA,17/01/2025,SURABAYA,IDR,,,CBD,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",5,1182520,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
273,PO.2025.01.00091,PT JATIM WATKORAYA,17/01/2025,SURABAYA,IDR,,,CBD,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",1,591260,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
274,PO.2025.01.00150,PT CHANGHONG MEILING ELECTRIC INDONESIA,30/01/2025,SURABAYA,IDR,,,NET 60,,CSC18NVB3,CHANGHONG CSC-18NVB3,20,4753000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
275,PO.2025.01.00155,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,5,6514060,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
276,PO.2025.01.00155,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,2,4347070,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
277,PO.2025.01.00155,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STKQ35UV,DAIKIN STKQ-35UV,4,5793600,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
278,PO.2025.01.00094,CV BANDUNG GEMILANG SENTOSA,17/01/2025,SURABAYA,IDR,,,CBD,,GWC09MOO5S,GREE GWC-09MOO5S,29,3467660,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
279,PO.2025.01.00092,CV BALLY AIRCOND,17/01/2025,BALI,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6174050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
280,PO.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,20,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
281,PO.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,15,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
282,PO.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STKQ50UV,DAIKIN STKQ-50UV,2,8388480,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
283,PO.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STKQ60UV,DAIKIN STKQ-60UV,1,11938080,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
284,PO.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STV35CXV,DAIKIN STV-35CXV,6,4506530,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
285,PO.2025.01.00150,PT CHANGHONG MEILING ELECTRIC INDONESIA,30/01/2025,SURABAYA,IDR,,,NET 60,,CSC12NVB4,CHANGHONG CSC-12NVB4,10,3601500,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
286,PO.2025.01.00110,CV BANDUNG GEMILANG SENTOSA,22/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,2,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
287,PO.2025.01.00109,PT SARANA KENCANA MULYA,21/01/2025,SURABAYA,IDR,,,NET 28,,PSF2032,POLYTRON PSF2032,2,6882075,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
288,PO.2025.01.00102,CV BANDUNG GEMILANG SENTOSA,20/01/2025,MADIUN,IDR,,,CBD,,GVC48STSSECO,GREE GVC-48STS(S)ECO,3,17262162,,SET,GD. UTAMA (MDN) - CBP,,,,,,,
289,PO.2025.01.00096,PT DAIKIN AIRCONDITIONING INDONESIA,16/01/2025,SURABAYA,IDR,,,CBD,,,,4,187000,,PCS,GD. UTAMA (SBY) - CBP,,,,,,,
290,PO.2025.01.00103,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,3,4347070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
291,PO.2025.01.00105,PT SARANA KENCANA MULYA,21/01/2025,SURABAYA,IDR,,,NET 28,,PAC09VZ,POLYTRON PAC09VZ,2,2497755,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
292,PO.2025.01.00103,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STV50CXV,DAIKIN STV-50CXV,8,5987846,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
293,PO.2025.01.00107,PT SHARP ELECTRONICS INDONESIA,21/01/2025,BALI,IDR,,,NET 21,,AHAP5BMY,SHARP AH-AP5BMY,5,2989230,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
294,PO.2025.01.00107,PT SHARP ELECTRONICS INDONESIA,21/01/2025,BALI,IDR,,,NET 21,,AHAP9BMY,SHARP AH-AP9BMY,5,3307800,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
295,PO.2025.01.00111,PT AKARI INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 30,,A09TC88NLW,AKARI A09TC88NLW,5,2750000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
296,PO.2025.01.00101,PT CHANGHONG MEILING ELECTRIC INDONESIA,20/01/2025,SURABAYA,IDR,,,NET 60,,CHFS48LA,CHANGHONG CHFS-48LA,2,15300000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
297,PO.2025.01.00104,PT PUCANGADI JAYA,20/01/2025,BALI,IDR,,,CBD,,GWC07MOO5S,GREE GWC-07MOO5S,8,3345460,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
298,PO.2025.01.00099,PT PUCANGADI JAYA,18/01/2025,BALI,IDR,,,CBD,,GWC09MOO5S,GREE GWC-09MOO5S,15,3467660,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
299,PO.2025.01.00106,PT BERKAT ELEKTRIK SEJATI TANGGUH,21/01/2025,BALI,IDR,,,NET 60,,,,1,15998089,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
300,PO.2025.01.00100,PT PANASONIC GOBEL INDONESIA,18/01/2025,SURABAYA,IDR,,,NET 28,,CSCUPN18AKJ,PANASONIC CS/CU-PN18AKJ,10,6774330,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
301,PO.2025.01.00103,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC20NV,DAIKIN STC-20NV,3,3765160,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
302,PO.2025.01.00103,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC35NV,DAIKIN STC-35NV,8,4889710,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
