,Nomor Dokumen,Customer,Payment Terms,Date,Branch,Currency,Exchange Rate,Grand Total,Total PPn,Item Code,Item Name,Qty,Price,Nomor SO,Nomor DN,Nomor UM,Nilai Uang Muka
832,S00793/2025,CUST-2025-34294,13/01/2025,13/01/2025,SURABAYA,,,2589000.0,256567.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.00971,,,0.0
833,S01796/2025,ANUGERAH JAYA ABADI MADIUN,27/02/2025,28/01/2025,SURABAYA,,,1440000.0,142703.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",1,1440000.0,SO.2025.01.02268,,,0.0
834,S00794/2025,CUST-2025-01385,13/01/2025,13/01/2025,SURABAYA,,,2589000.0,256567.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.00972,,,0.0
835,S00913/2025,CUST-2025-37206,14/01/2025,14/01/2025,SURABAYA,,,6410000.0,635225.0,STKC25TV,DAIKIN STKC-25TV,1,6410000.0,SO.2025.01.01120,,,0.0
836,S01797/2025,CUST-2025-06438,28/01/2025,28/01/2025,SURABAYA,,,5118000.0,507189.0,PAC05VH,POLYTRON PAC05VH,2,2559000.0,SO.2025.01.02247,,,0.0
837,T00122/2025,CUST-2025-25588,12/02/2025,13/01/2025,SURABAYA,,,4375000.0,433558.0,STC25NV,DAIKIN STC-25NV,1,4375000.0,SO.2025.01.00975,,,0.0
838,S01871/2025,CUST-2025-05988,30/01/2025,30/01/2025,SURABAYA,,,450000.0,934505.0,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",6,75000.0,SO.2025.01.02291,,,9430000.0
839,S01871/2025,CUST-2025-05988,30/01/2025,30/01/2025,SURABAYA,,,90000.0,934505.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,2,45000.0,SO.2025.01.02291,,,9430000.0
840,S00795/2025,CUST-2025-10629,13/01/2025,13/01/2025,SURABAYA,,,2920000.0,289369.0,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,1,2920000.0,SO.2025.01.00960,,,0.0
841,S01798/2025,CUST-2025-36400,28/01/2025,28/01/2025,SURABAYA,,,2449000.0,242694.0,A05TC88NLW,AKARI A05TC88NLW,1,2449000.0,SO.2025.01.02252,,,0.0
842,S00796/2025,CUST-2025-02036,13/01/2025,13/01/2025,BALI,,,3689000.0,365576.0,GWC09MOO5S,GREE GWC-09MOO5S,1,3689000.0,SO.2025.01.00956,,,0.0
843,S01799/2025,,28/01/2025,28/01/2025,MADIUN,,,4500000.0,821036.0,CSC05NVB4,CHANGHONG CSC-05NVB4,2,2250000.0,SO.2025.01.02264,,,0.0
844,S01799/2025,,28/01/2025,28/01/2025,MADIUN,,,3785000.0,821036.0,CSC12NVB4,CHANGHONG CSC-12NVB4,1,3785000.0,SO.2025.01.02264,,,0.0
845,S00901/2025,CUST-2025-36180,14/01/2025,14/01/2025,SURABAYA,,,2479000.0,245666.0,A05TC88NLW,AKARI A05TC88NLW,1,2479000.0,SO.2025.01.01109,,,0.0
846,S01800/2025,CUST-2025-34315,28/01/2025,28/01/2025,SURABAYA,,,4349000.0,430982.0,STC15NV,DAIKIN STC-15NV,1,4349000.0,SO.2025.01.02253,,,0.0
847,S01801/2025,CUST-2025-21296,28/01/2025,28/01/2025,SURABAYA,,,2499000.0,247649.0,AN05CDG,HISENSE AN05CDG,1,2499000.0,SO.2025.01.02254,,,0.0
